,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
423,423,ASUS,Windows 11,16,1024,82990,16,Intel Core i7 ,1,4.1
424,424,ASUS,Windows 11,16,1024,144990,13.3,Intel Core i7 ,1,4.1
425,425,DELL,Windows 11,16,512,56500,14,AMD Ryzen 7 Octa Core ,1,2.3
426,426,SAMSUNG,Windows 11,16,512,163990,16,Intel Core Ultra 7 ,1,2.3
427,427,ASUS,Windows 11,8,512,51839,15.6,Intel Core i5 ,1,4.3
428,428,Apple,Mac,18,512,163990,16,Apple M3 Pro ,1,4.3
429,429,ASUS,Windows 11,8,512,55990,15.6,Intel Hexa Core i5 ,1,4.3
430,430,HP,Windows 11,16,512,86700,15.6,Intel Core i7 ,1,4.3
431,431,ASUS,Windows 11,16,512,93018,14,Intel Core i5 ,1,4.3
432,432,Apple,Mac,8,512,119900,13.6,Apple M2 ,1,4.8
433,433,DELL,Windows 11,32,1024,237890,17.3,Intel Core i7 ,1,4.8
434,434,HP,Windows 11,32,1024,239299,16,Intel Core i9 ,1,4.8
435,435,HP,Windows 11,16,512,59755,15.6,Intel Core i5 ,1,3.5
436,436,ASUS,Windows 11,16,1024,109900,15.6,Intel Core i9 ,1,4.3
437,437,HP,Windows 11,16,512,77500,14,Intel Core i5 ,1,4.3
438,438,HP,Windows 11,16,512,84800,15.6,Intel Core i5 ,1,4.3
439,439,HP,Windows 11,8,512,41000,15.6,Intel Core i3 ,1,4.4
440,440,ASUS,Windows 11,16,512,59990,15.6,Intel Core i5 ,1,3.8
441,441,DELL,Windows 11,16,1024,178499,13.4,Intel Core i7 ,1,3.8
442,442,Lenovo,Windows 11,8,512,50790,15.6,Intel Core i5 ,1,4.3
443,443,Lenovo,Windows 11,8,512,46990,15.6,Intel Core i5 ,1,4.3
444,444,ASUS,Windows 11,16,1024,85999,15.6,AMD Ryzen 7 Octa Core ,1,4.5
445,445,DELL,Windows 11,8,512,76990,15.6,Intel Core i5 ,1,4.5
446,446,HP,Windows 11,16,1024,73780,15.6,Intel Core i5 ,1,4.3
447,447,HP,Windows 11,16,512,51000,15.6,Intel Core i5 ,1,4.5
448,448,HP,Windows 11,16,1024,89890,15.6,Intel Core i7 ,1,4.2
449,449,ASUS,Windows 11,16,512,94990,16,Intel Core i5 ,1,4.2
450,450,ASUS,Windows 11,16,512,94990,15.6,AMD Ryzen 7 Octa Core ,1,4.2
451,451,Lenovo,Windows 11,8,512,44444,15.6,AMD Ryzen 5 ,1,4.2
452,452,SAMSUNG,Windows 11,16,1024,169990,16,Intel Core i7 ,1,4.7
453,453,SAMSUNG,Windows 11,16,1024,140990,14,Intel Core i7 ,1,4.1
454,454,ASUS,Windows 11,32,2048,329990,16,Intel Core i9 ,1,4.1
455,455,HP,Windows 11,8,512,40400,15.6,AMD Ryzen 3 Quad Core ,1,4.2
456,456,ASUS,Windows 11,16,512,66590,17.3,Intel Core i5 ,1,4.3
457,457,ASUS,Windows 11,8,512,41990,14.1,Intel Core i3 ,1,4.4
458,458,HP,Windows 11,16,512,64444,15.6,Intel Core i5 ,1,3.8
459,459,HP,Windows 11,16,512,58500,15.6,AMD Ryzen 5 Hexa Core ,1,4.1
460,460,DELL,Windows 11,8,1024,48490,15.6,AMD Ryzen 5 Quad Core ,1,4.1
461,461,DELL,Windows 11,16,512,144785,16,Intel Core i7 ,1,4.1
462,462,HP,Windows 10,8,512,40999,14,Intel Core i3 ,1,4.1
463,463,HP,Windows 11,8,1024,40050,15.6,Intel Core i3 ,1,4.2
464,464,HP,Windows 11,8,512,82899,15.6,Intel Core i7 ,1,4.2
465,465,HP,Windows 11,16,512,66499,15.6,Intel Core i5 ,1,4.2
466,466,HP,Windows 11,8,512,57999,15.6,Intel Core i5 ,1,4.2
467,467,HP,Windows 11,16,512,154999,13.5,Intel Core i7 ,1,4.2
468,468,HP,Windows 11,16,512,75990,16.1,AMD Ryzen 7 Octa Core ,1,4.5
469,469,ASUS,Windows 11,16,512,66990,15.6,Intel Core i5 ,1,4.5
470,470,Lenovo,Windows 11,16,512,58990,15.6,Intel Core i7 ,1,4.6
471,471,DELL,Windows 11,8,512,40770,14,Intel Core i3 ,1,4.5
472,472,DELL,Windows 11,8,512,59490,14,Intel Core i5 ,1,3.8
473,473,Lenovo,Windows 11,16,512,92990,15.6,AMD Ryzen 7 Octa Core ,1,4.6
474,474,SAMSUNG,Windows 11,16,512,117990,13.3,Intel Core i5 ,1,4.6
475,475,ASUS,Windows 11,16,512,65990,15.6,Intel Core i5 ,1,4.6
476,476,HP,Windows 11,8,512,85310,16.1,AMD Ryzen 5 Hexa Core ,1,4.3
477,477,ASUS,Windows 10,32,1024,118990,13.4,AMD Ryzen 9 Octa Core ,1,4.1
478,478,Lenovo,Windows 11,16,512,87990,14,Intel Core i7 ,1,4.7
479,479,SAMSUNG,Windows 11,16,1024,133990,13.3,Intel Core i7 ,1,3.8
480,480,HP,Windows 11,8,512,54140,15.6,Intel Core i5 ,1,4.2
481,481,DELL,Windows 10,16,512,74999,14,Intel Core i5 ,1,4.1
482,482,HP,Windows 11,16,512,99999,15.6,Intel Core i5 ,1,4.1
483,483,SAMSUNG,Windows 11,16,512,153990,16,Intel Core i7 ,1,4.1
484,484,HP,Windows 11,8,512,40400,15.6,AMD Ryzen 3 Quad Core ,1,4.2
485,485,ASUS,Windows 11,16,512,62990,15.6,AMD Ryzen 5 ,1,4.2
486,486,HP,Windows 11,8,1024,40050,15.6,Intel Core i3 ,1,4.2
487,487,HP,Windows 10,8,1024,51000,15.6,AMD Ryzen 5 Quad Core ,1,4.2
